direction,entry_price,sl,tp,entry_time,session,vwap_at_entry,balance_at_entry,exit_price,exit_time,exit_reason,pnl_points,pnl_usd,balance,equity
long,48424.71,48377.85289656959,48574.71,2026-03-02 02:45:00,asia,48407.85289656959,97687.64867113237,48574.71,2026-03-02 03:10:00,tp,148.0,148.0,97835.64867113237,97835.64867113237
short,48518.71,48550.82301971989,48368.71,2026-03-02 07:00:00,london,48520.82301971989,97835.64867113237,48368.71,2026-03-02 08:45:00,tp,148.0,148.0,97983.64867113237,97983.64867113237
long,48432.31,48383.00526398524,48582.31,2026-03-02 12:00:00,other,48413.00526398524,97983.64867113237,48383.12188449781,2026-03-02 12:15:00,sl,-51.18811550219107,-51.18811550219107,97932.46055563018,97932.46055563018
long,48438.31,48383.09042330414,48588.31,2026-03-02 12:30:00,other,48413.09042330414,97932.46055563018,48383.500312167365,2026-03-02 13:05:00,sl,-56.809687832632335,-56.809687832632335,97875.65086779755,97875.65086779755
long,48420.31,48383.35436798107,48570.31,2026-03-02 13:15:00,other,48413.35436798107,97875.65086779755,48384.668351232394,2026-03-02 14:05:00,sl,-37.64164876760333,-37.64164876760333,97838.00921902995,97838.00921902995
long,48418.81,48383.36840922835,48568.81,2026-03-02 14:45:00,new_york,48413.36840922835,97838.00921902995,48383.25354060057,2026-03-02 14:55:00,sl,-37.556459399427695,-37.556459399427695,97800.45275963051,97800.45275963051
short,48412.31,48443.32739630201,48262.31,2026-03-02 15:00:00,new_york,48413.32739630201,97800.45275963051,48443.414786368165,2026-03-02 15:05:00,sl,-33.10478636816697,-33.10478636816697,97767.34797326234,97767.34797326234
short,48415.31,48445.456729693855,48265.31,2026-03-02 15:40:00,new_york,48415.456729693855,97767.34797326234,48445.808693963874,2026-03-02 16:30:00,sl,-32.498693963876576,-32.498693963876576,97734.84927929846,97734.84927929846
short,48839.98,48874.31333333333,48689.98,2026-03-03 01:05:00,asia,48844.31333333333,97734.84927929846,48689.98,2026-03-03 03:50:00,tp,148.0,148.0,97882.84927929846,97882.84927929846
long,48188.4,48156.0667515486,48338.4,2026-03-03 18:45:00,new_york,48186.0667515486,97882.84927929846,48338.4,2026-03-03 19:45:00,tp,148.0,148.0,98030.84927929846,98030.84927929846
short,48436.38,48479.03650644783,48286.38,2026-03-04 01:20:00,asia,48449.03650644783,98030.84927929846,48460.551380345074,2026-03-04 02:10:00,sl,-26.171380345076614,-26.171380345076614,98004.67789895338,98004.67789895338
short,48424.51,48480.11013926674,48274.51,2026-03-04 02:30:00,asia,48450.11013926674,98004.67789895338,48473.82834871203,2026-03-04 02:50:00,sl,-51.31834871202591,-51.31834871202591,97953.35955024135,97953.35955024135
short,48413.51,48475.1383844319,48263.51,2026-03-04 03:05:00,asia,48445.1383844319,97953.35955024135,48263.51,2026-03-04 05:20:00,tp,148.0,148.0,98101.35955024135,98101.35955024135
long,48365.11,48315.58522959605,48515.11,2026-03-04 09:20:00,london,48345.58522959605,98101.35955024135,48318.87613622801,2026-03-04 10:20:00,sl,-48.23386377198767,-48.23386377198767,98053.12568646937,98053.12568646937
long,48359.61,48318.392586061265,48509.61,2026-03-04 10:30:00,london,48348.392586061265,98053.12568646937,48318.73805426533,2026-03-04 10:55:00,sl,-42.87194573466695,-42.87194573466695,98010.25374073471,98010.25374073471
long,48364.61,48318.17558550325,48514.61,2026-03-04 11:10:00,london,48348.17558550325,98010.25374073471,48514.61,2026-03-04 12:05:00,tp,148.0,148.0,98158.25374073471,98158.25374073471
short,48374.91,48447.61690376177,48224.91,2026-03-04 16:40:00,new_york,48417.61690376177,98158.25374073471,48447.63793787161,2026-03-04 16:45:00,sl,-74.72793787160481,-74.72793787160481,98083.5258028631,98083.5258028631
