trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1681,2026-03-20 08:49:00,2026-03-20 08:52:00,short,4714.44,4721.97,4699.379999999998,4699.379999999998,tp,12.06,44.41,1.602,5590.2,asia,conservative,bearish,4718.97,4714.44,2026-03-20 08:40:00
1682,2026-03-20 09:02:00,2026-03-20 09:27:00,long,4694.12,4683.57,4715.22,4683.57,sl,-13.55,-35.9,-1.284,5554.3,asia,conservative,bullish,4694.12,4686.57,2026-03-20 05:55:00
1683,2026-03-20 09:46:00,2026-03-20 10:42:00,long,4672.08,4659.13,4697.98,4697.98,tp,22.9,49.11,1.768,5603.41,asia,conservative,bullish,4672.08,4662.13,2026-03-20 04:40:00
1684,2026-03-20 11:52:00,2026-03-20 11:56:00,long,4693.06,4686.13,4706.920000000001,4686.13,sl,-9.93,-40.15,-1.433,5563.26,london,conservative,bullish,4693.06,4689.13,2026-03-20 10:45:00
1685,2026-03-20 12:27:00,2026-03-20 12:40:00,short,4689.68,4696.54,4675.960000000001,4675.960000000001,tp,10.72,43.47,1.563,5606.73,london,conservative,bearish,4693.54,4689.68,2026-03-20 12:25:00
1686,2026-03-20 15:28:00,2026-03-20 15:39:00,long,4679.32,4669.21,4699.539999999999,4669.21,sl,-13.11,-36.35,-1.297,5570.38,london,conservative,bullish,4679.32,4672.21,2026-03-20 15:10:00
1687,2026-03-20 17:35:00,2026-03-20 17:54:00,short,4579.65,4589.33,4560.289999999999,4560.289999999999,tp,16.36,47.07,1.69,5617.45,london,conservative,bearish,4586.33,4579.65,2026-03-20 17:25:00
1688,2026-03-20 19:35:00,2026-03-20 19:45:00,long,4583.81,4577.69,4596.050000000002,4577.69,sl,-9.12,-41.86,-1.49,5575.6,new_york,conservative,bullish,4583.81,4580.69,2026-03-20 19:20:00
1689,2026-03-20 19:45:00,2026-03-20 20:08:00,short,4585.57,4598.43,4559.8499999999985,4598.43,sl,-15.86,-34.38,-1.233,5541.21,new_york,conservative,bearish,4595.43,4585.57,2026-03-20 19:35:00
1690,2026-03-20 20:08:00,2026-03-20 20:36:00,long,4570.14,4555.48,4599.460000000002,4555.48,sl,-17.66,-33.38,-1.205,5507.84,new_york,conservative,bullish,4570.14,4558.48,2026-03-20 19:10:00
1691,2026-03-20 20:45:00,2026-03-20 20:51:00,short,4565.59,4572.24,4552.290000000001,4572.24,sl,-9.65,-39.96,-1.451,5467.88,new_york,conservative,bearish,4569.24,4565.59,2026-03-20 20:40:00
1692,2026-03-20 22:04:00,2026-03-20 22:44:00,short,4502.97,4513.46,4481.990000000001,4513.46,sl,-13.49,-35.16,-1.286,5432.72,new_york,conservative,bearish,4510.46,4502.97,2026-03-20 22:00:00
1693,2026-03-23 01:27:00,2026-03-23 01:47:00,short,4529.3,4541.51,4504.88,4504.88,tp,21.42,47.65,1.754,5480.37,asia,conservative,bearish,4538.51,4529.3,2026-03-20 21:50:00
1694,2026-03-23 03:59:00,2026-03-23 04:08:00,short,4365.24,4402.54,4290.639999999999,4402.54,sl,-40.3,-29.61,-1.08,5450.76,asia,conservative,bearish,4399.54,4365.24,2026-03-23 03:45:00
1695,2026-03-23 04:09:00,2026-03-23 04:17:00,short,4401.3,4427.11,4349.680000000001,4427.11,sl,-28.81,-30.42,-1.116,5420.34,asia,conservative,bearish,4424.11,4401.3,2026-03-23 03:40:00
1696,2026-03-23 05:01:00,2026-03-23 05:37:00,long,4395.23,4377.97,4429.749999999998,4377.97,sl,-20.26,-31.81,-1.174,5388.53,asia,conservative,bullish,4395.23,4380.97,2026-03-23 04:15:00
1697,2026-03-23 05:37:00,2026-03-23 05:38:00,short,4415.05,4431.1,4382.95,4382.95,tp,29.1,48.85,1.813,5437.38,asia,conservative,bearish,4428.1,4415.05,2026-03-23 04:55:00
1698,2026-03-23 05:39:00,2026-03-23 05:53:00,long,4376.25,4368.02,4392.709999999999,4368.02,sl,-11.23,-37.1,-1.365,5400.28,asia,conservative,bullish,4376.25,4371.02,2026-03-23 04:10:00
1699,2026-03-23 06:17:00,2026-03-23 06:20:00,short,4357.15,4363.19,4345.07,4363.19,sl,-9.04,-40.41,-1.497,5359.87,asia,conservative,bearish,4360.19,4357.15,2026-03-23 06:15:00
1700,2026-03-23 07:34:00,2026-03-23 07:53:00,long,4361.88,4351.69,4382.260000000001,4351.69,sl,-13.19,-34.69,-1.294,5325.18,asia,conservative,bullish,4361.88,4354.69,2026-03-23 07:10:00
1701,2026-03-23 08:14:00,2026-03-23 08:19:00,long,4371.59,4364.79,4385.1900000000005,4364.79,sl,-9.8,-38.37,-1.441,5286.81,asia,conservative,bullish,4371.59,4367.79,2026-03-23 08:10:00
