trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed,month,date
1494,2026-02-02 20:18:00,2026-02-02 20:46:00,short,49358.0,49395.7,49282.600000000006,49397.7,sl,-52.65,-1.053,19467.08,new_york,49370.7,49362.0,-52.65,2026-02,2026-02-02
1495,2026-02-02 20:48:00,2026-02-02 23:51:00,long,49418.5,49364.0,49527.5,49362.0,sl,-51.83,-1.037,19415.25,new_york,49414.5,49389.0,-51.849999999999994,2026-02,2026-02-02
1496,2026-02-03 01:15:00,2026-02-03 11:47:00,long,49423.0,49379.0,49511.0,49377.0,sl,-52.27,-1.045,19362.98,asia,49419.0,49404.0,-52.25,2026-02,2026-02-03
1497,2026-02-03 14:31:00,2026-02-03 16:04:00,long,49418.7,49364.7,49526.7,49362.7,sl,-51.85,-1.037,19311.13,london,49414.7,49389.7,-51.849999999999994,2026-02,2026-02-03
1498,2026-02-03 16:31:00,2026-02-03 16:32:00,long,49400.4,49356.4,49488.4,49488.4,tp,100.0,2.0,19411.13,london,49396.4,49381.4,100.0,2026-02,2026-02-03
1499,2026-02-03 19:11:00,2026-02-03 19:30:00,short,49281.4,49345.4,49153.4,49153.4,tp,100.0,2.0,19511.13,new_york,49320.4,49285.4,100.0,2026-02,2026-02-03
1500,2026-02-03 21:18:00,2026-02-03 21:56:00,long,48965.1,48919.1,49057.1,49057.1,tp,100.0,2.0,19611.13,new_york,48961.1,48944.1,100.0,2026-02,2026-02-03
1501,2026-02-03 22:58:00,2026-02-04 08:45:00,long,49251.4,49191.4,49371.4,49371.4,tp,100.0,2.0,19711.13,new_york,49247.4,49216.4,100.0,2026-02,2026-02-04
1502,2026-02-04 11:19:00,2026-02-04 12:34:00,long,49311.3,49257.3,49419.3,49419.3,tp,100.0,2.0,19811.13,london,49307.3,49282.3,100.0,2026-02,2026-02-04
1503,2026-02-04 14:28:00,2026-02-04 16:00:00,long,49363.8,49318.3,49454.8,49316.3,sl,-52.2,-1.044,19758.93,london,49359.8,49343.3,-52.2,2026-02,2026-02-04
1504,2026-02-04 16:19:00,2026-02-04 16:27:00,short,49320.3,49358.3,49244.3,49360.3,sl,-52.63,-1.053,19706.3,london,49333.3,49324.3,-52.65,2026-02,2026-02-04
